"adjective","prop_item_correct","gbooks_freq"
"bored",0.858585858585859,-0.021
"boring",0.97752808988764,-0.07
"bossy",0.929411764705882,-0.25
"bountiful",0.726315789473684,-0.224
"bourgeois",0.597701149425287,-0.077
"boyish",0.974025974025974,-0.169
"bragging",0.8,-0.235
"brainless",0.907894736842105,-0.254
"brainy",0.956521739130435,NA
"brash",0.752577319587629,-0.242
"brave",0.972972972972973,-0.211
"brawling",0.879518072289157,-0.246
"brawlsome",0.86046511627907,NA
"brazen",0.925925925925926,-0.197
"breathless",0.896103896103896,-0.255
"breezy",0.595744680851064,-0.233
"bright",0.898989898989899,1.562
"bright-eyed",0.693333333333333,NA
"brilliant",0.823529411764706,-0.232
"brisk",0.777777777777778,-0.143
"bristling",0.47945205479452,-0.221
"bristly",0.560606060606061,-0.251
"broad-minded",0.790123456790123,NA
"broad-spoken",0.476190476190476,NA
"broken",0.351648351648352,2
"brooding",0.813333333333333,-0.165
"broody",0.638888888888889,NA
"brotherly",0.670454545454545,-0.209
"browbeating",0.72093023255814,NA
"brusque",0.525,-0.241
"brutal",0.959459459459459,0.024
"brutish",0.780487804878049,-0.239
"bubbly",0.626086956521739,-0.248
"buffoonish",0.875,NA
"bullheaded",0.9375,NA
"bullish",0.693333333333333,-0.245
"bullying",0.925,-0.247
"buoyant",0.636363636363636,-0.202
"buoying",0.506666666666667,NA
"bureaucratic",0.714285714285714,-0.249
"burned-out",0.945205479452055,NA
"businesslike",0.782051282051282,-0.232
"busy",0.904761904761905,0.921
"busyish",0.446601941747573,NA
"cagey",0.590909090909091,NA
"cajoling",0.607142857142857,NA
"calculable",0.209876543209877,NA
"calculating",0.709677419354839,-0.227
"callous",0.627906976744186,-0.213
"callow",0.247191011235955,NA
"calm",0.804878048780488,0.807
"calming",0.972222222222222,-0.206
"candid",0.785714285714286,-0.146
"canny",0.583333333333333,-0.244
"cantankerous",0.684931506849315,NA
"capable",0.880952380952381,1.337
"capricious",0.5,-0.185
"carefree",0.919540229885057,-0.23
"careful",0.865853658536585,-0.198
"careless",0.884057971014493,0.031
"careworn",0.522388059701492,NA
"caring",0.939759036144578,0.131
"casual",0.712962962962963,0.066
"catty",0.5625,NA
"caustic",0.658536585365854,-0.192
"cautionary",0.857142857142857,-0.23
"cautious",0.949367088607595,0.015
"cavalier",0.5,-0.238
"censorial",0.686746987951807,NA
"censorious",0.415584415584416,NA
"cerebral",0.630434782608696,-0.215
"ceremonious",0.642857142857143,-0.245
"certain",0.901408450704225,0.012
"challenging",0.852272727272727,0.238
"chameleonlike",0.794520547945205,NA
"changeable",0.821917808219178,-0.221
"changeless",0.659340659340659,-0.245
"charismatic",0.835164835164835,-0.17
"charitable",0.93939393939394,0.03
"charming",0.945054945054945,-0.233
"chaste",0.747126436781609,-0.185
"chattering",0.95,-0.181
"chatty",0.958333333333333,NA
"chauvinistic",0.793103448275862,NA
"cheap",0.951807228915663,0.298
"cheeky",0.442857142857143,NA
"cheerful",0.985915492957746,0.152
"cheerless",0.485714285714286,-0.231
"cheery",0.965116279069767,-0.193
"cheesy",0.578947368421053,NA
"cherubic",0.819277108433735,NA
"chic",0.904109589041096,-0.231
"childish",0.91566265060241,-0.065
"childlike",0.735632183908046,-0.19
"chipper",0.797619047619048,NA
"chitchatty",0.67741935483871,NA
"chivalrous",0.810526315789474,-0.209
"choosy",0.772727272727273,NA
"chubby",0.962962962962963,-0.231
"chummy",0.851351351351351,NA
"churlish",0.578947368421053,NA
"circumspect",0.432098765432099,-0.236
"civil",0.779220779220779,1.952
"civilized",0.802083333333333,0.065
"clairvoyant",0.842696629213483,-0.245
"clandestine",0.626506024096386,-0.189
"clannish",0.802469135802469,NA
"classy",1,-0.245
"clean",0.898876404494382,1.267
"clear-cut",0.891891891891892,NA
"clear-eyed",0.835294117647059,NA
"clear-sighted",0.904761904761905,NA
"clear-thinking",0.898550724637681,NA
"clearheaded",0.639344262295082,NA
"clever",0.860215053763441,0.246
"clinging",0.979166666666667,-0.078
"clingy",0.915492957746479,NA
"cliquish",0.860215053763441,NA
"close-fisted",0.657657657657658,NA
"close-mouthed",0.935064935064935,NA
"closed-minded",0.948051948051948,NA
"clownish",0.935897435897436,NA
"cloying",0.525252525252525,NA
"clubby",0.409090909090909,NA
"clumsy",0.957894736842105,-0.122
"coarse",0.508474576271186,0.155
"cocksure",0.795454545454545,NA
"cocky",0.93939393939394,-0.242
"coercing",0.87012987012987,NA
"coercive",0.88135593220339,-0.162
"cognitive",0.632183908045977,0.823
"coherent",0.617283950617284,0.013
"cold",0.795180722891566,0.259
"cold-blooded",0.35632183908046,NA
"cold-hearted",0.95,NA
"colorful",0.642857142857143,-0.13
"combative",0.941176470588235,-0.237
"comfortable",0.805194805194805,0.845
"comical",0.963855421686747,-0.197
"commandeering",0.771428571428571,NA
"commanding",0.897727272727273,0.1
"communicative",0.792452830188679,-0.246
"companionable",0.7875,-0.245
"compassionate",0.98780487804878,-0.139
"compassionless",0.850574712643678,NA
"compatible",0.938144329896907,0.026
"competent",0.916666666666667,0.219
"competitive",0.939024390243902,0.531
"competitory",0.875,NA
"complacent",0.289156626506024,-0.21
"complaining",0.810126582278481,-0.074
"complaisant",0.574712643678161,NA
"complex",0.945652173913043,2.69
"compliant",0.916666666666667,-0.19
"complicated",0.697674418604651,0.525
"complimentary",0.831325301204819,-0.193
"complying",0.927536231884058,-0.205
"composed",0.777777777777778,-0.245
"comprehensive",0.786666666666667,-0.15
"compulsive",0.923913043478261,-0.182
"comradely",0.816901408450704,NA
"concealing",0.988636363636364,-0.173
"conceding",0.59493670886076,-0.238
"conceited",0.88235294117647,-0.215
"conceitless",0.144736842105263,NA
"conceptual",0.819444444444444,-0.187
"concerned",0.623529411764706,2.116
"conciliatory",0.80327868852459,-0.207
"concise",0.851351351351351,-0.24
"condemning",0.818181818181818,-0.18
"condescending",0.6,-0.216
"confident",0.966666666666667,0.302
"conforming",0.9,-0.202
"confusable",0.844155844155844,NA
"confused",0.942857142857143,0.412
"confusing",0.714285714285714,-0.063
"congenial",0.602564102564103,-0.156
"conniving",0.905405405405405,NA
"conscienceless",0.778947368421053,NA
"conscientious",0.8,-0.114
"conservative",0.776470588235294,-0.075
"considerate",0.906976744186046,-0.182
"consistent",0.680851063829787,1.006
"consolatory",0.885416666666667,NA
"consoling",0.896551724137931,-0.219
